id,title,publishedAt,description,youtube_id
UExwVmVBMXRkZ2ZDQjAta3VpOEZSSkR6TzBmOThhTzA1VC41NkI0NEY2RDEwNTU3Q0M2,"Обучение машинному обучению и анализу данных утром, днём, вечером, ночью, Алексей Толстиков",2018-12-12T09:27:35.000Z,"Data Елка в Минске – 08.12.2018
by Yandex & ODS Minsk

Алексей рассказал, как развивают Школу анализа данных и создают сложную и интересную магистерскую программу. Дополнительно рассказал о критериях поступления в ШАД и материалах, которые могут пригодиться. Бонусом прошелся по онлайн-курсам, подготовленным компанией за последние годы.",FEzjzTSHlDs
UExwVmVBMXRkZ2ZDQjAta3VpOEZSSkR6TzBmOThhTzA1VC4yODlGNEE0NkRGMEEzMEQy,Как понять пользователя с полуслова? Алексей Иванин,2018-12-12T09:29:42.000Z,"Data Елка в Минске – 08.12.2018
by Yandex & ODS Minsk

Небольшой рассказ о том, как Поиск анализирует запрос пользователя. Алексей рассказал про то, что такое «расширения запроса», как мы их получаем и какую пользу можно извлечь, применяя эти знания неочевидным образом.",2dhwd-dYZhI
UExwVmVBMXRkZ2ZDQjAta3VpOEZSSkR6TzBmOThhTzA1VC4wMTcyMDhGQUE4NTIzM0Y5,"Computer vision: слабое железо не приговор, Александр Матвеенко",2018-12-12T09:32:25.000Z,"Data Елка в Минске – 08.12.2018
by Yandex & ODS Minsk

Основные технические вызовы, которые приходилось преодолевать в Mapbox. Краткий обзор полученных результатов и планов на будущее.",-HwjbfQ80WY
UExwVmVBMXRkZ2ZDQjAta3VpOEZSSkR6TzBmOThhTzA1VC41MjE1MkI0OTQ2QzJGNzNG,"Как научить себя слушать: голосовые технологии в Яндекс.Станции, Андрей Андрухович",2018-12-12T09:34:49.000Z,"Data Елка в Минске – 08.12.2018
by Yandex & ODS Minsk

Андрей рассказал, как в Яндекс адаптировали голосовые технологии для работы в устройстве, где нет кнопок, но есть 7 микрофонов. В первую очередь он рассказал про распознавание речи и голосовую активацию. А ещё — про голосовую биометрию и (анти)спуфинг.",q_Vc0c4CXqU
UExwVmVBMXRkZ2ZDQjAta3VpOEZSSkR6TzBmOThhTzA1VC4wOTA3OTZBNzVEMTUzOTMy,"Методы распознавания 3D-объектов для беспилотных автомобилей, Виктор Отлига",2018-12-12T09:36:11.000Z,"Data Елка в Минске – 08.12.2018
by Yandex & ODS Minsk

Без понимания, что находится вокруг и где именно, беспилотному автомобилю не обойтись. Виктор рассказал, как в Яндекс решают задачу распознавания других участников дорожного движения в трёхмерном облаке точек, чем эта задача отличается от распознавания объектов на изображении и как извлечь пользу из совместного использования разных типов сенсоров.",sARwqGY5l44
UExwVmVBMXRkZ2ZDREl2ck5fdmFOalFDb1JNN09kcmR4aC41NkI0NEY2RDEwNTU3Q0M2,Александр Сологуб – 45 место в Kaggle TGS Salt Identification Challenge,2018-11-08T13:14:52.000Z,"ODS November Meetup – 07.10.2018

При поддержке компании Mapbox.

Ноябрьская встреча минского сообщества Open Data Science была посвящена Kaggle TGS Salt Identification Challenge – соревнованию по семантической сегментации.",r7OuZ2aOHH0
UExwVmVBMXRkZ2ZDREl2ck5fdmFOalFDb1JNN09kcmR4aC4yODlGNEE0NkRGMEEzMEQy,Юрий Зеленский и Вадим Нарейко – 287 место в Kaggle TGS Salt Identification Challenge,2018-11-08T13:16:24.000Z,"ODS November Meetup – 07.10.2018

При поддержке компании Mapbox.

Ноябрьская встреча минского сообщества Open Data Science была посвящена Kaggle TGS Salt Identification Challenge – соревнованию по семантической сегментации.",x3I0yR-_hZs
UExwVmVBMXRkZ2ZDREl2ck5fdmFOalFDb1JNN09kcmR4aC4wMTcyMDhGQUE4NTIzM0Y5,Владислав Артемьев – 214 место в Kaggle TGS Salt Identification Challenge,2018-11-08T13:17:23.000Z,"ODS November Meetup – 07.10.2018

При поддержке компании Mapbox.

Ноябрьская встреча минского сообщества Open Data Science была посвящена Kaggle TGS Salt Identification Challenge – соревнованию по семантической сегментации.",MMYYXADsavM
UExwVmVBMXRkZ2ZDREl2ck5fdmFOalFDb1JNN09kcmR4aC41MjE1MkI0OTQ2QzJGNzNG,Евгений Бабахин – 1 место в Kaggle TGS Salt Identification Challenge,2018-11-08T13:17:48.000Z,"ODS November Meetup – 07.10.2018

При поддержке компании Mapbox.

Ноябрьская встреча минского сообщества Open Data Science была посвящена Kaggle TGS Salt Identification Challenge – соревнованию по семантической сегментации.",20KEvvhiFLo
UExwVmVBMXRkZ2ZDREl2ck5fdmFOalFDb1JNN09kcmR4aC4wOTA3OTZBNzVEMTUzOTMy,Селим Сефербеков – 3 место в Kaggle TGS Salt Identification Challenge,2018-11-08T13:18:07.000Z,"ODS November Meetup – 07.10.2018

При поддержке компании Mapbox.

Ноябрьская встреча минского сообщества Open Data Science была посвящена Kaggle TGS Salt Identification Challenge – соревнованию по семантической сегментации.",-jtqT5DihPc
