youtube_id,channel,title,publishedAt,description,url
46nnbxEZNw8,Компьютерные науки,"068. Как извлечь из сырых данных пользу для мультиканального ритейла – И. Чухляев, Е. Курочкина",2018-07-03T15:05:30.000Z,"В рамках конференции «Data&Science: маркетинг» Илья Чухляев (OWOX) и Екатериа Курочкина (М.Видео) рассказали, как объединённые несемплированные данные делают маркетинг М.Видео эффективнее. 

- Что такое Google BigQuery и как он помогает в объединении -онлайн-данных и офлайн-данных.
- Google Data Prep. Как обработать и подготовить большие объемы данных к анализу.
- Кейсы М.Видео: как повысить эффективность маркетинга, анализируя омниканальные взаимодействия с клиентом.

Скачать презентацию: https://yadi.sk/i/Nb24Q3Dc3YivZn

Илья Чухляев - региональный директор OWOX по региону CIS Занимается онлайн-аналитикой больше шести лет. Защитил диссертацию по веб-аналитике в США, учился у Авинаша Кошика. Ранее возглавлял отдел аналитики Adventum, где работал с крупнейшими клиентами из разных отраслей. Илья — сертифицированный консультант Google Analytics и партнер Яндекса по обучению, преподает онлайн аналитику на специализированных курсах в tceh.com.

Екатерина Курочкина - руководитель направления интернет-маркетинга М.Видео. Занимается интернет-маркетингом с 2008 года. Более 5 лет работала в Яндексе по всем типам рекламных размещений с крупнейшими рекламодателями. С 2014 года развивает направление интернет-продаж в платных каналах в М.Видео.",https://www.youtube.com/watch?v=46nnbxEZNw8
RnUcRYAbWtY,Компьютерные науки,001. Прикладные задачи оптимизации – М.В. Бацын,2015-04-10T12:07:26.000Z,,https://www.youtube.com/watch?v=RnUcRYAbWtY
frLW8UVp_Ik,Компьютерные науки,005. Тематическое моделирование на пути к разведочному информационному поиску — Константин Воронцов,2016-09-27T13:08:21.000Z,,https://www.youtube.com/watch?v=frLW8UVp_Ik
7lerRDCZrhU,Компьютерные науки,Запись тренировки ML 29.07.2017,2017-07-29T10:48:27.000Z,"Описание:
Рим Шаяхметов — Предсказание сердечно-сосудистых заболеваний (MLBootCamp V)
Данила Савенков — Предсказание времени тестирования автомобилей (Kaggle Mercedes-Benz Greener Manufacturing)
Дмитрий Козлов — Fine-Grained Visual Categorization (Kaggle iMaterialist Challenge at FGVC 2017)
Каждые две недели в Яндексе проходят тренировки по машинному обучению. Эти встречи помогают участникам конкурсов в сфере анализа данных пообщаться и обменяться опытом.
Мероприятия состоят из практической части и докладов. Задачи для первой берутся с Kaggle и других схожих площадок. С докладами выступают успешные участники последних соревнований — рассказывают о своих решениях и о том, какие техники и методы использовали их конкуренты.
Мероприятие состоится в конференц-зале «Мулен Руж» с 12:00 до 15:00. Мы ждём опытных и начинающих участников конкурсов по машинному обучению.
Набор тегов:
kaggle, data science, machine learning, competition, contest, анализ данных, машинное обучение, разбор соревнований, контест, Yandex, Яндекс, ML тренировки, mlbootcamp, Mercedes, imaterialist",https://www.youtube.com/watch?v=7lerRDCZrhU
Zco55S3RNU0,Компьютерные науки,058. Круглый стол «Как анализ данных меняет мир большого спорта»,2018-02-21T12:11:45.000Z,"В рамках конференции Яндекса «Большие данные в большом спорте» состоялся круглый стол, на котором представители спортивной индустрии и data science разобрали спорные вопросы слияния спорта и технологий и выяснили, какие задачи являются наиболее востребованными.

Модератор:

Андрей Себрант, директор по стратегическому маркетингу «Яндекса»

Участники:

Олег Баскаев, Руководитель отдела CRM и ПЛ АО «Футбольный клуб «Спартак-Москва»

Вячеслав Годик, Российский Футбольный Союз, руководитель информционно-аналитического центра

Иван Катанаев, директор по развитию Instat Sport

Максар Шипхинеев, ICEBERG Sports Analytics

Дмитрий Дагаев, заместитель проректора НИУ ВШЭ, к.ф.-м.н.

Глеб Васильев, сооснователь исследовательской группы Toros Research",https://www.youtube.com/watch?v=Zco55S3RNU0
3JpkBRJmo6Y,Компьютерные науки,018. Астрономия в эпоху больших обзоров неба – Сергей Копосов,2016-12-26T08:21:33.000Z,"За последние 15 лет благодаря появлению больших обзоров неба — таких как Слоановский цифровой небесный обзор — астрономия превратилась в науку больших данных. На данный момент самые большие обзоры содержат информацию о более чем миллиарде звёзд и галактик, а в ближайшем будущем будут содержать сотни миллиардов объектов. Сергей Копосов, PHD, рассказывает, как функционируют крупные астрономические обзоры, какой путь проходят астрономические данные от детектора до публикаций, а также приведёт несколько примеров применения различных статистических методов и методов машинного обучения для решения астрофизических задач.",https://www.youtube.com/watch?v=3JpkBRJmo6Y
uWWQClHVwEc,Компьютерные науки,"003 Запись трансляции научно-технического семинара ""Deep Boosting""",2016-05-24T19:02:02.000Z,"24 мая в московском офисе Яндекса выступит один из самых известных в мире специалистов по машинному обучению профессор Курантовского института математических наук Мехрияр Мори (Mehryar Mohri). Профессор представит Deep Boosting — новую схему построения алгоритмов бустинга (алгоритмов, строящих композицию из базовых моделей машинного обучения). Эта схема позволяет использовать без повышенного риска переобучения базовые модели большой сложности — глубокие деревья решений, деревья решений с моделями из других семейств (например, SVM) построенными в листьях деревьев, и др. Схема основана на новой теории выбора моделей — Voted Risk Minimization — и открывает путь к созданию гораздо более эффективных каскадных или композиционных алгоритмов машинного обучения.
Встреча пройдёт на английском языке.",https://www.youtube.com/watch?v=uWWQClHVwEc
fBVMLqi29XQ,Компьютерные науки,009. Коллективный поиск: подходы к изучению социальных аспектов информационного поиска - Chirag Shah,2014-11-21T18:34:06.000Z,"Традиционная модель интернет поиска себя исчерпала. Несмотря на то, что в этой модели еще остается много инженерных и технологических задач, для следующего концептуального прорыва в поисковых технологиях необходимо принять во внимание социальные аспекты активности людей в интернете. Доклад Чирага был посвящен поиску ответов на вопросы в интернет-сообществах (community Q&A) и коллективному поиску (collaborative searching). Это на первый взгляд не связанные между собой, но очень важные элементы новой эры информационного поиска. Спикер рассказал, как растет популярность социальных Q&A-сервисов и каково значение этой тенденции для исследователей и разработчиков. Важно учитывать, что по эффективности групповой поиск может превосходить индивидуальный. Для этого можно, например, определять потенциальные группы, анализируя поисковую активность отдельных пользователей, и совмещать индивидуальный и коллективный поиск, превращая его в эффективный синергетический процесс. Чираг рассказал как о системном, так и о пользовательском аспектах этих исследований и привел реальные примеры сайтов и систем коллективного поиска (Yahoo! Answers, WiliAnswers, Coagmento), а также данные лабораторных и полевых экспериментов. В конце доклада он перечислил трудности и возможности, которые возникают по мере изучения этой новой сферы интернет-поиска.",https://www.youtube.com/watch?v=fBVMLqi29XQ
JJCO7eWCy-M,Компьютерные науки,DataFest 5 - Lumiere hall 2 - Запись трансляции,2018-04-28T18:07:51.000Z,"Программа:

00:02:30 Pitch-сессия
Участники могут в формате кратких питчей на 3+2 минуты презентовать свои проекты аудитории.


DeepTensor workshop
Или как работают тензорные методы машинного обучения:

01:52:43 Евгений Фролов: Моделирование предпочтений пользователей с помощью тензорных методов
02:14:25 Валентин Хрульков: Атаки на нейронные сети
02:34:20 Александр Новиков: Тензоры и рекуррентные нейронные сети
02:48:00 Александр Катруца: Deep Multigrid
03:04:10 Алексей Гринчук: Сжатие нейронных сетей при помощи тензорных методов


iPavlov workshop
Вы узнаете, как обучать разговорный интеллект и сложные диалоговые системы на ML:

04:19:10 Валентин Малых, DeepPavlov: Что внутри у диалоговой системы? 
04:51:00 Александр Селиверстов, DeepPavlov: Open source для чат ботов и диалоговых систем
05:08:50 Михаил Архипов, DeepPavlov: Распознавание именованных сущностей
05:21:08 Диляра Баймурзина, DeepPavlov: Классификация текстов
05:31:20 Мария Вихрева, DeepPavlov: Гибридный диалоговый бот
05:47:04 Леонид Пугачев, DeepPavlov: Использование ранжирования
05:55:33 Юрий Куратов, DeepPavlov: Поиск ответа в тексте 
06:03:10 Максим Кретов, DeepPavlov 


WiML workshop
Первый в СНГ официальный Women in ML workshop:

06:35:00 Елена Тутубалина, Neuromation, Insilico Medicine, КФУ: Что у вас болит? Применение методов NLP в drug discovery
07:00:40 Олеся Криндач, МГТУ им. Баумана: Компьютерное зрение в беспилотном транспорте
07:28:25 Эмели Драль, mechanica.ai: Машинное обучение в промышленном масштабе: специфика работы с ""тяжелыми"" отраслями",https://www.youtube.com/watch?v=JJCO7eWCy-M
egjoKTAYi7g,Компьютерные науки,002. Что такое ШАД – Станислав Федотов,2017-04-20T15:17:49.000Z,"Станислав расскажет о правилах поступления и обучения в ШАД и ответит на основные организационные вопросы, которые возникают у абитуриентов. Вы узнаете:

– кто может поступать в ШАД;
– что нужно сдавать для поступления;
– сложно ли учиться в ШАД и часто ли отчисляют;
– сколько времени уходит на учёбу;
– чем обучение в ШАД отличается от обучения в вузе;
– что даёт обучение в ШАД для будущей карьеры.

https://yandexdataschool.ru",https://www.youtube.com/watch?v=egjoKTAYi7g
